"","inuidur1","female","black","othrace","dep1","dep2","q2","q3","q4","q5","q6","agelt35","agegt54","durable","lusd","husd","tg"
"1",2.89037175789616,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"3",3.29583686600433,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"4",2.19722457733622,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"5",3.29583686600433,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
"6",3.29583686600433,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"7",2.19722457733622,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
"8",3.29583686600433,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"9",2.70805020110221,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"10",3.3322045101752,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"11",2.484906649788,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"12",3.09104245335832,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
"13",2.89037175789616,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"14",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"15",1.94591014905531,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"16",2.89037175789616,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"17",2.63905732961526,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"18",1.6094379124341,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"19",2.19722457733622,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"20",1.09861228866811,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21",3.29583686600433,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"22",3.29583686600433,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"23",2.30258509299405,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"24",3.2188758248682,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"25",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
"26",1.09861228866811,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"27",2.56494935746154,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
"28",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
"29",3.29583686600433,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
"30",2.63905732961526,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
